file_name,gpx_time,rec_num,name,latitude,longitude,elevation,used_max_elevation,comment,description,symbol,gps_quality,x_3794,y_3794
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,33,T07,46.273503285,13.755761236,1636.3,0,T07,"T07: SLO(404103.1,404103.1)",Flag,2,404103,126727
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,32,TETLEY,46.251229635,13.762146570,1866.3,0,TETLEY,"TETLEY: SLO(404556.6,404556.6)",Campground,2,404557,124243
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,31,UBEND,46.251635905,13.757756883,,0,UBEND,"UBEND: SLO(404218.8,404218.8)",Waypoint,2,404219,124294
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,30,USTART,46.252185926,13.758406984,,0,USTART,"USTART: SLO(404269.9,404269.9)",Waypoint,2,404270,124354
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,29,V1,46.249415874,13.759586904,,0,V1,"V1: SLO(404356.0,404356.0)",Waypoint,2,404356,124045
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,28,V10,46.255314890,13.758546878,,0,V10,"V10: SLO(404286.1,404286.1)",Waypoint,2,404286,124702
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,27,V11,46.257324871,13.758265832,,0,V11,"V11: SLO(404267.9,404267.9)",Waypoint,2,404268,124926
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,26,V12,46.258514849,13.756376971,,0,V12,"V12: SLO(404124.4,404124.4)",Waypoint,2,404124,125060
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,25,V3,46.250395887,13.759256909,,0,V3,"V3: SLO(404332.3,404332.3)",Waypoint,2,404332,124154
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,24,V7,46.252555987,13.758366834,,0,V7,"V7: SLO(404267.4,404267.4)",Waypoint,2,404267,124395
old ICCC gps.gpx,2004-06-24,57,VIL,46.25379333,13.76521560,1771.6,0,,,Danger Area,1,404798,124525
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,23,VILA1,46.253833557,13.765090127,1793.2,0,VILA1,"VILA1: SLO(404788.0,404788.0)",Flag,2,404788,124529
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,22,VILA2,46.253747307,13.765288442,1782.9,0,VILA2,"VILA2: SLO(404803.2,404803.2)",Flag,2,404803,124520
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,21,VODA,46.241578963,13.763521872,1481.0,0,VODA,"VODA: SLO(404645.9,404645.9)",Waypoint,2,404646,123169
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,20,WB1,46.255235095,13.765296154,1799.0,0,WB1,"WB1: SLO(404806.3,404806.3)",Flag,2,404806,124685
old ICCC gps.gpx,2004-06-24,56,WHALE,46.25419532,13.76680775,1815.3,0,,,Waypoint,1,404921,124568
