file_name,gpx_time,rec_num,name,latitude,longitude,elevation,used_max_elevation,comment,description,symbol,gps_quality,x_3794,y_3794
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,111,KUK,46.260714848,13.756955909,,0,KUK,"KUK: SLO(404172.9,404172.9)",Waypoint,2,404173,125304
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,110,KUKTRG,46.260667155,13.756897151,2089.5,0,KUKTRG,"KUKTRG: SLO(404168.2,404168.2)",Golf Course,2,404168,125299
old ICCC gps.gpx,2004-06-24,5,L1JURD,46.24952350,13.76644976,1780.5,0,,,Flag,1,404885,124049
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,109,LAKE,46.276699640,13.759823190,1447.9,0,LAKE,"LAKE: SLO(404421.7,404421.7)",Golf Course,2,404422,127077
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,108,M1,46.251963219,13.763704766,1858.6,0,M1,"M1: SLO(404678.0,404678.0)",Skull and Crossbones,2,404678,124323
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,107,M10,46.251615873,13.762645964,1862.4,1,M10,"M10: SLO(404595.7,404595.7)",Waypoint,2,404596,124286
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,106,M101,46.251528868,13.762658285,1862.4,0,M101,"M101: SLO(404596.5,404596.5)",Skull and Crossbones,2,404597,124276
ICCC_JSPDT_Mig_GPS_points_2005-2008.gpx,2009-07-08,120,M11_GK,46.252449956,13.768759975,1854.5,0,M11C,"M11C - converted from 1994 Gausskruger coordinates: SLO(405068.6,405068.6)",Waypoint,1,405069,124371
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,105,M11GK,46.252449956,13.768759808,1854.5,0,M11GK,"M11GK: SLO(405068.6,405068.6)",Waypoint,2,405069,124371
ICCC_JSPDT_Mig_GPS_points_2005-2008.gpx,2009-07-08,113,M12_GK,46.249899929,13.766089920,1853.5,0,M12C,"M12C - converted from 1994 Gausskruger coordinates: SLO(404858.3,404858.3)",Waypoint,1,404858,124091
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,104,M12GK,46.249899846,13.766089920,1853.5,0,M12GK,"M12GK: SLO(404858.3,404858.3)",Waypoint,2,404858,124091
